# hanzi	pinyin	HSK level (HSK 3.0 standard, public list)
收益	shōuyì	4
收看	shōu kàn	3
收缩	shōusuō	7
收获	shōuhuò	4
收藏	shōucáng	6
收视率	shōushìlǜ	7
收购	shōu gòu	5
收费	shōu fèi	3
收集	shōu jí	5
收音机	shōuyīnjī	3
改	gǎi	2
改为	gǎiwéi	7
改动	gǎidòng	7
改变	gǎibiàn	2
改名	gǎimíng	7
改善	gǎishàn	4
改日	gǎirì	7
改正	gǎizhèng	4
改版	gǎibǎn	7
改编	gǎibiān	7
改良	gǎiliáng	7
改装	gǎizhuāng	6
改进	gǎijìn	3
改造	gǎi zào	3
改邪归正	gǎixiéguīzhèng	7
改革	gǎigé	5
改革开放	gǎigékāifàng	7
攻	gōng	7
攻关	gōngguān	7
攻击	gōngjī	6
攻读	gōngdú	7
放	fàng	1
放下	fàng xià	2
放假	fàng jià	1
放到	fàng dào	3
放大	fàngdà	5
放学	fàng xué	1
放弃	fàngqì	5
放心	fàngxīn	2
放映	fàngyìng	7
放松	fàngsōng	4
放水	fàngshuǐ	7
放纵	fàngzòng	7
放置	fàngzhì	7
放肆	fàngsì	7
放过	fàngguò	7
政党	zhèngdǎng	6
政府	zhèngfǔ	4
政权	zhèngquán	6
政治	zhèngzhì	4
政策	zhèngcè	6
故	gù	7
故乡	gùxiāng	3
故事	gùshi	2
故意	gùyì	2
故障	gùzhàng	6
效仿	xiàofǎng	7
效力	xiàolì	7
效应	xiàoyìng	7
效果	xiàoguǒ	3
效率	xiàolǜ	4
效益	xiàoyì	7
敌人	dírén	4
敏感	mǐngǎn	5
敏捷	mǐnjié	7
敏锐	mǐnruì	7
救	jiù	3
救助	jiùzhù	6
救命	jiùmìng	6
救护车	jiùhùchē	7
救援	jiùyuán	6
救治	jiùzhì	7
救济	jiùjì	7
救灾	jiù zāi	5
教	jiāo	1
教养	jiàoyǎng	7
教堂	jiàotáng	6
教学	jiào xué	2
教学楼	jiào xué lóu	1
教室	jiàoshì	2
教师	jiào shī	2
教授	jiàoshòu	4
教材	jiàocái	3
教条	jiàotiáo	7
教科书	jiàokēshū	7
教练	jiàoliàn	3
教育	jiàoyù	2
教育部	jiàoyùbù	6
教训	jiàoxùn	4
敞开	chǎngkāi	7
敢	gǎn	3
敢于	gǎnyú	6
敢情	gǎnqing	7
散	sàn	4
散发	sànfā	7
散布	sànbù	7
散文	sǎnwén	5
散步	sànbù	3
敦促	dūncù	7
敦厚	dūnhòu	7
敬	jìng	7
敬业	jìngyè	7
敬佩	jìngpèi	7
敬意	jìngyì	7
敬爱	jìng'ài	7
敬礼	jìnglǐ	7
敬而远之	jìng'éryuǎnzhī	7
敬请	jìngqǐng	7
敬酒	jìngjiǔ	7
敬重	jìngzhòng	7
数	shǔ	2
数字	shùzì	2
数据	shùjù	4
数据库	shùjùkù	7
数目	shù mù	5
数码	shùmǎ	4
数量	shùliàng	3
数额	shù'é	7
敲	qiāo	5
敲诈	qiāozhà	7
敲边鼓	qiāobiāngǔ	7
敲门	qiāo mén	5
整	zhěng	3
整个	zhěnggè	3
整体	zhěngtǐ	3
整合	zhěnghé	7
整天	zhěng tiān	3
整数	zhěngshù	7
整整	zhěng zhěng	3
整治	zhěngzhì	6
整洁	zhěngjié	7
整理	zhěnglǐ	3
整顿	zhěngdùn	6
整齐	zhěngqí	3
敷	fū	7
文	wén	7
文人	wénrén	7
文件	wénjiàn	3
文具	wénjù	7
文凭	wénpíng	7
文化	wénhuà	3
文娱	wényú	6
文字	wénzì	3
文学	wénxué	3
文明	wénmíng	3
文物	wénwù	7
文献	wénxiàn	7
文盲	wénmáng	7
文科	wénkē	7
文章	wénzhāng	3
文艺	wényì	5
文雅	wényǎ	7
斑点	bāndiǎn	7
斑纹	bānwén	6
斗	dòu	7
斗争	dòuzhēng	6
斗志	dòuzhì	7
料	liào	6
料到	liàodào	7
料理	liàolǐ	7
斜	xié	5
斤	jīn	2
斧子	fǔzi	7
斩	zhǎn	7
斩草除根	zhǎncǎochúgēn	7
断	duàn	3
断定	duàndìng	7
断断续续	duànduànxùxù	7
断裂	duànliè	7
新	xīn	1
新人	xīnrén	6
新兴	xīnxīng	6
新型	xīn xíng	4
新奇	xīnqí	7
新娘	xīnniáng	4
新年	xīn nián	1
新式	xīnshì	7
新房	xīnfáng	7
新手	xīnshǒu	7
新款	xīnkuǎn	7
新潮	xīncháo	7
新生	xīnshēng	7
新郎	xīnláng	4
新闻	xīnwén	2
新陈代谢	xīnchéndàixiè	7
新颖	xīnyǐng	7
新鲜	xīnxiān	4
方	fāng	4
方便	fāngbiàn	2
方便面	fāng biàn miàn	2
方向	fāngxiàng	2
方向盘	fāngxiàngpán	7
方式	fāngshì	3
方方面面	fāngfāngmiànmiàn	7
方案	fāng'àn	4
方法	fāngfǎ	2
方言	fāngyán	7
方针	fāngzhēn	4
方面	fāngmiàn	2
施加	shījiā	7
施压	shīyā	7
施工	shīgōng	7
施行	shīxíng	7
旁	páng	5
旁观	pángguān	7
旁边	pángbiān	1
旅客	lǚ kè	2
旅店	lǚdiàn	6
旅游	lǚyóu	2
旅程	lǚchéng	7
旅行	lǚxíng	2
旅行社	lǚ xíng shè	3
旅途	lǚtú	7
旅馆	lǚ guǎn	3
旋律	xuánlǜ	7
旋涡	xuánwō	7
旋转	xuánzhuǎn	6
族	zú	6
旗帜	qízhì	7
旗袍	qípáo	7
无	wú	4
无不	wúbù	7
无偿	wúcháng	7
无关	wúguān	6
无关紧要	wúguānjǐnyào	7
无力	wúlì	7
无可厚非	wúkěhòufēi	7
无可奈何	wúkěnàihé	7
无可奉告	wúkěfènggào	7
无奈	wúnài	5
无家可归	wújiākěguī	7
无形	wúxíng	7
无形中	wúxíngzhōng	7
无微不至	wúwēibúzhì	7
无忧无虑	wúyōuwúlǜ	7
无恶不作	wú'èbúzuò	7
无情	wúqíng	7
无情无义	wúqíngwúyì	7
无意	wúyì	7
无所事事	wúsuǒshìshì	7
无所作为	wúsuǒzuòwéi	7
无所谓	wúsuǒwèi	4
无故	wúgù	7
无效	wúxiào	6
无敌	wúdí	7
无数	wúshù	4
无条件	wútiáojiàn	7
无比	wúbǐ	7
无法	wú fǎ	4
无济于事	wújìyúshì	7
无理	wúlǐ	7
无疑	wú yí	5
无知	wúzhī	7
无私	wúsī	7
无穷	wúqióng	7
无精打采	wújīngdǎcǎi	7
无线	wúxiàn	7
无线电	wúxiàndiàn	7
无缘	wúyuán	7
无聊	wúliáo	4
无能	wúnéng	7
无能为力	wúnéngwéilì	7
无论	wúlùn	4
无论如何	wúlùnrúhé	7
无话可说	wúhuàkěshuō	7
无足轻重	wúzúqīngzhòng	7
无辜	wúgū	7
无边	wúbiān	6
无限	wú xiàn	4
无非	wúfēi	7
无须	wúxū	7
既	jì	4
既然	jìrán	4
日	rì	1
日前	rìqián	7
日历	rìlì	4
日后	rìhòu	7
日复一日	rìfùyírì	7
日夜	rìyè	6
日子	rìzi	2
日常	rìcháng	3
日报	rì bào	2
日新月异	rìxīnyuèyì	7
日期	rìqī	1
日益	rìyì	7
日程	rìchéng	7
日记	rìjì	4
日语	rìyǔ	6
日趋	rìqū	7
旧	jiù	3
旨在	zhǐzài	7
早	zǎo	1
早上	zǎoshang	1
早就	zǎo jiù	2
早已	zǎo yǐ	3
早年	zǎonián	7
早日	zǎorì	7
早晚	zǎowǎn	6
早晨	zǎo chén	2
早期	zǎo qī	5
早餐	zǎo cān	2
早饭	zǎo fàn	1
旭日	xùrì	7
旱	hàn	7
旱灾	hànzāi	7
时	shí	3
时不时	shíbushí	7
时事	shíshì	5
时代	shídài	3
时候	shíhou	1
时光	shíguāng	5
时刻	shíkè	3
时好时坏	shíhǎoshíhuài	7
时尚	shíshàng	7
时常	shícháng	5
时时	shíshí	6
时期	shíqī	6
时机	shíjī	5
时段	shíduàn	7
时空	shíkōng	7
时而	shí'ér	6
时节	shíjié	6
时装	shízhuāng	6
时速	shísù	7
时间	shíjiān	1
时间表	shíjiānbiǎo	7
时隔	shígé	7
时髦	shímáo	7
旷课	kuàngkè	7
旺	wàng	7
旺季	wàngjì	7
旺盛	wàngshèng	7
昂贵	ángguì	6
昆虫	kūnchóng	7
昌盛	chāngshèng	6
明亮	míng liàng	5
明天	míngtiān	1
明媚	míngmèi	7
明年	míng nián	1
明日	míngrì	6
明明	míngmíng	5
明星	míngxīng	2
明显	obvious	3
明智	míngzhì	7
明朗	mínglǎng	7
明白	míngbai	1
明确	míngquè	3
昏	hūn	6
昏迷	hūnmí	7
易拉罐	yìlāguàn	7
昔日	xīrì	7
星座	xīngzuò	7
星星	xīng xing	2
星期	xīngqī	1
星期天	xīng qī tiān	1
星期日	xīng qī rì	1
映	yìng	7
春天	chūn tiān	2
春季	chūn jì	4
春节	chūn jié	2
昨天	zuótiān	1
是	shì	1
是不是	shì bú shì	1
是否	shìfǒu	4
是非	shìfēi	7
昼夜	zhòuyè	7
显	xiǎn	5
显出	xiǎnchū	6
显得	xiǎnde	3
显然	xiǎnrán	3
显现	xiǎnxiàn	7
显眼	xiǎnyǎn	7
显示	xiǎnshì	3
显示器	xiǎnshìqì	7
显而易见	xiǎn'éryìjiàn	7
显著	xiǎnzhù	4
显赫	xiǎnhè	7
晃	huǎng	7
晃荡	huàngdang	7
晋升	jìnshēng	7
晒	shài	4
晒太阳	shàitàiyáng	7
晓得	xiǎodé	6
晕	yūn	6
晕倒	yūndǎo	7
晕车	yūnchē	6
晚	wǎn	1
晚上	wǎnshang	1
晚会	wǎn huì	2
晚安	wǎn ān	2
晚年	wǎnnián	7
晚报	wǎn bào	2
晚期	wǎnqī	7
晚点	wǎn diǎn	4
晚间	wǎnjiān	7
晚餐	wǎn cān	2
晚饭	wǎn fàn	1
普及	pǔjí	3
普通	pǔ tōng	2
普通人	pǔtōngrén	7
普通话	putōnghuà	2
普遍	pǔbiàn	3
景	jǐng	6
景区	jǐngqū	7
景点	jǐngdiǎn	6
景色	jǐngsè	3
景观	jǐngguān	7
景象	jǐng xiàng	5
晴	qíng	2
晴天	qíng tiān	2
晴朗	qínglǎng	5
晶莹	jīngyíng	7
智力	zhìlì	4
智商	zhìshāng	7
智慧	zhìhuì	6
智能	zhìnéng	4
暂	zàn	7
暂停	zàn tíng	5
暂时	zànshí	5
暑假	shǔ jià	4
暑期	shǔqī	7
暖	nuǎn	5
暖和	nuǎn huo	3
暖气	nuǎn qì	4
暖烘烘	nuǎnhōnghōng	7
暗	àn	4
暗中	ànzhōng	7
暗地里	àndìlǐ	7
暗杀	ànshā	7
暗示	ànshì	4
暴利	bàolì	7
暴躁	bàozào	7
暴风骤雨	bàofēngzhòuyǔ	7
曙光	shǔguāng	7
曝光	bàoguāng	7
曰	yuē	7
曲	qǔ	7
曲折	qūzhé	7
曲线	qūxiàn	7
更	gèng	2
更加	gèng jiā	3
更换	gēng huàn	5
更改	gēnggǎi	7
更新	gēngxīn	5
更是	gèngshì	6
更衣室	gēngyīshì	7
曾	céng	4
曾经	céngjīng	3
替	tì	4
替代	tì dài	4
替换	tìhuàn	7
替身	tìshēn	7
最	zuì	1
最佳	zuìjiā	6
最初	zuìchū	4
最后	zuìhòu	1
最好	zuìhǎo	1
最终	zuìzhōng	6
最近	zuìjìn	2
月	yuè	1
月亮	yuèliang	2
月份	yuè fèn	2
月初	yuèchū	7
月底	yuè dǐ	4
月球	yuè qiú	5
月票	yuèpiào	7
月饼	yuè bǐng	5
有	yǒu	1
有两下子	yǒuliǎngxiàzi	7
有事	yǒushì	6
有些	yǒu xiē	1
有人	yǒu rén	2
有关	yǒuguān	6
有利	yǒulì	3
有利于	yǒu lì yú	5
有力	yǒu lì	5
有助于	yǒuzhùyú	7
有劲儿	yǒu jìnr	4
有口无心	yǒukǒuwúxīn	7
有名	yǒumíng	1
有声有色	yǒushēngyǒusè	7
有害	yǒu hài	5
有幸	yǒuxìng	7
有序	yǒuxù	7
有待	yǒudài	7
有意	yǒuyì	7
有意思	yǒu yì si	2
有所	yǒusuǒ	7
有所不同	yǒusuǒbùtóng	7
有效	yǒu xiào	3
有效期	yǒuxiàoqī	7
有时候	yǒu shíhòu	1
有望	yǒuwàng	7
有朝一日	yǒuzhāoyírì	7
有机	yǒujī	7
有毒	yǒu dú	5
有没有	yǒuméiyǒu	6
有点儿	yǒu diǎnr	2
有用	yǒu yòng	1
有的	yǒu de	1
有的放矢	yǒudìfàngshǐ	7
有的是	yǒu de shì	3
有益	yǒuyì	7
有着	yǒu zhe	5
有空儿	yǒu kòngr	2
有趣	yǒuqù	4
有限	yǒu xiàn	4
朋友	péngyou	1
服	fú	6
服从	fúcóng	5
服务	fú wù	2
服务器	fúwùqì	7
服用	fúyòng	7
服装	fúzhuāng	3
服饰	fúshì	7
朗诵	lǎngsòng	7
朗读	lǎngdú	5
望	wàng	7
望见	wàngjiàn	6
望远镜	wàngyuǎnjìng	7
朝	cháo	3
朝三暮四	zhāosānmùsì	7
朝代	cháodài	7
朝夕相处	zhāoxīxiāngchǔ	7
朝气蓬勃	zhāoqìpéngbó	7
朝着	cháozhe	7
期	qī	3
期中	qī zhōng	4
期待	qīdài	4
期望	qīwàng	5
期末	qī mò	4
期盼	qīpàn	7
期间	qījiān	4
期限	qīxiàn	4
朦胧	ménglóng	7
木偶	mù'ǒu	7
木匠	mùjiàng	7
木头	mùtou	3
木材	mùcái	7
木板	mùbǎn	7
未	wèi	7
未免	wèimiǎn	7
未必	wèibì	4
未成年人	wèichéngniánrén	7
未来	wèilái	4
未知数	wèizhīshù	7
未经	wèijīng	7
末	mò	4
末日	mòrì	7
本	běn	1
本事	běnshi	3
本人	běnrén	5
本分	běnfèn	7
本子	běn zi	1
本性	běnxìng	7
本意	běnyì	7
本来	běnlái	3
本着	běnzhe	7
本科	běnkē	4
本能	běnnéng	7
本色	běnsè	7
本钱	běnqián	7
本领	běnlǐng	3
朱红	zhūhóng	7
朴实	pǔshí	7
朴素	pǔsù	7
朵	duǒ	5
机会	jīhuì	2
机关	jīguān	6
机制	jī zhì	5
机动	jīdòng	7
机动车	jīdòngchē	6
机器	jīqì	3
机器人	jī qì rén	5
机场	jīchǎng	1
机密	jīmì	7
机智	jīzhì	7
机构	jīgòu	4
机械	jīxiè	6
机灵	jīling	7
机票	jī piào	1
机舱	jīcāng	7
机遇	jīyù	4
杀	shā	5
杀害	shāhài	7
杀手	shāshǒu	7
杀毒	shā dú	5
杂	zá	6
杂乱无章	záluànwúzhāng	7
杂交	zájiāo	7
杂志	zázhì	3
杂技	zájì	7
权	quán	6
权利	quánlì	4
权力	quánlì	6
权威	quánwēi	7
权益	quányì	7
权衡	quánhéng	7
杆	gān	6
材料	cáiliào	4
村	cūn	3
村庄	cūnzhuāng	6
杜绝	dùjué	7
束	shù	3
束缚	shùfù	7
杠铃	gànglíng	7
条	tiáo	2
条件	tiáojiàn	2
条例	tiáolì	7
条款	tiáokuǎn	7
条约	tiáoyuē	7
来	lái	1
来不及	láibují	4
来临	láilín	7
来信	lái xìn	5
来到	lái dào	1
来历	láilì	7
来回	láihuí	7
来宾	láibīn	7
来年	láinián	7
来往	láiwǎng	6
来得及	láidejí	4
来源	láiyuán	4
来源于	láiyuányú	7
来电	láidiàn	7
来自	láizì	2
来访	láifǎng	7
来龙去脉	láilóngqùmài	7
杨树	yángshù	7
杯	bēi	1
杯子	bēi zi	1
杰出	jiéchū	6
松	sōng	4
松弛	sōngchí	7
松树	sōng shù	4
松绑	sōngbǎng	7
板	bǎn	3
板块	bǎnkuài	7
极	jí	4
极为	jíwéi	7
极了	jí le	3
极其	jíqí	4
极力	jílì	7
极少数	jíshǎoshù	7
极度	jídù	7
极端	jíduān	6
极限	jíxiàn	7
构建	gòujiàn	6
构思	gòusī	7
构想	gòuxiǎng	7
构成	gòuchéng	4
构造	gòu zào	4
枕头	zhěntou	7
枚	méi	7
果园	guǒyuán	7
果实	guǒshí	4
果断	guǒduàn	7
果树	guǒshù	6
果汁	guǒzhī	3
果然	guǒrán	3
果真	guǒzhēn	7
果酱	guǒjiàng	6
枝	zhī	6
枢纽	shūniǔ	7
枣	zǎo	7
枪	qiāng	5
枪毙	qiāngbì	7
枯燥	kūzào	7
架	jià	3
架势	jiàshi	7
架子	jiàzi	7
柏树	bǎishù	7
某	mǒu	3
染	rǎn	5
柔和	róuhé	7
柔软	róuruǎn	7
柜台	guìtái	7
柜子	guì zi	5
查	chá	2
查出	cháchū	6
查处	cháchǔ	7
查找	cházhǎo	7
查明	chámíng	7
查看	chákàn	6
查询	chá xún	5
柱子	zhùzi	6
柳树	liǔshù	7
柿子	shìzi	7
标	biāo	7
标准	biāozhǔn	3
标志	biāozhì	4
标本	biāoběn	7
标榜	biāobǎng	7
标示	biāoshì	7
标签	biāoqiān	7
标致	biāozhì	7
标语	biāoyǔ	7
标题	biāotí	3
栋	dòng	7
栋梁	dòngliáng	7
栏	lán	7
栏杆	lángān	7
栏目	lánmù	6
树	shù	1
树叶	shù yè	4
树木	shùmù	7
树林	shù lín	4
树枝	shùzhī	7
树梢	shùshāo	7
树立	shùlì	7
树荫	shùyīn	7
校园	xiào yuán	2
校长	xiàozhǎng	2
株	zhū	7
样	yàng	6
样品	yàngpǐn	7
样子	yàngzi	2
样本	yàngběn	7
核	hé	7
核实	héshí	7
核对	héduì	7
核心	héxīn	6
核桃	hétao	7
核武器	héwǔqì	7
核电站	hédiànzhàn	7
核能	hénéng	7
根	gēn	4
根基	gēnjī	7
根据	gēnjù	4
根本	gēnběn	3
根治	gēnzhì	7
根深蒂固	gēnshēndìgù	7
根源	gēnyuán	7
格	gé	7
格外	géwài	4
格局	géjú	7
格式	géshì	7
格格不入	gégébúrù	7
栽	zāi	7
栽培	zāipéi	7
桂花	guìhuā	7
桃	táo	5
桃树	táo shù	5
桃花	táo huā	5
框	kuàng	7
框架	kuàngjià	7
案件	ànjiàn	6
案例	ànlì	6
桌子	zhuōzi	1
桑拿	sāngná	7
档	dàng	6
档案	dàng'àn	6
档次	dàngcì	7
桥	qiáo	3
桥梁	qiáoliáng	6
桶	tǒng	7
梅花	méihuā	6
梦	mèng	4
梦幻	mènghuàn	7
梦想	mèngxiǎng	4
梦见	mèng jiàn	4
梨	lí	5
梯子	tīzi	7
梳	shū	7
梳子	shūzi	7
梳理	shūlǐ	7
检察	jiǎnchá	7
检查	jiǎnchá	2
检测	jiǎn cè	4
检讨	jiǎntǎo	7
检验	jiǎnyàn	5
棉	mián	6
棉花	miánhua	7
棋	qí	7
棋子	qízǐ	7
棍	gùn	7
棍子	gùnzi	7
棒	bàng	5
棒球	bàngqiú	7
棘手	jíshǒu	7
森林	sēnlín	4
棱角	léngjiǎo	7
棵	kē	4
棺材	guāncai	7
椅子	yǐzi	2
植物	zhíwù	4
椰子	yēzi	7
楷模	kǎimó	7
楼	lóu	1
楼上	lóu shàng	1
楼下	lóu xià	1
楼房	lóufáng	6
楼梯	lóu tī	4
楼道	lóudào	6
概况	gàikuàng	7
概念	gàiniàn	3
概括	gàikuò	4
概率	gàilǜ	7
概论	gàilùn	7
榜样	bǎngyàng	6
榨	zhà	7
槐树	huáishù	7
槽	cáo	7
模仿	mófǎng	5
模型	móxíng	4
模式	móshì	5
模拟	mónǐ	7
模样	múyàng	5
模特儿	mó tè r	4
模糊	móhu	5
模范	mófàn	5
横	hèng	6
横七竖八	héngqīshùbā	7
横向	héngxiàng	7
橘子	júzi	7
橙汁	chéngzhī	7
橡皮	xiàngpí	7
橡胶	xiàngjiāo	7
欠	qiàn	5
欠条	qiàntiáo	7
欠缺	qiànquē	7
次	cì	1
次数	cìshù	6
次日	cìrì	7
欢乐	huānlè	3
欢呼	huānhū	7
欢声笑语	huānshēngxiàoyǔ	7
欢快	huānkuài	7
欢聚	huānjù	7
欢迎	huānyíng	2
欣喜	xīnxǐ	7
欣慰	xīnwèi	7
欣欣向荣	xīnxīnxiàngróng	7
欣赏	xīnshǎng	5
欲望	yùwàng	7
欺诈	qīzhà	7
欺负	qīfu	6
欺骗	qīpiàn	7
款式	kuǎnshì	7
款项	kuǎnxiàng	7
歇	xiē	5
歉意	qiànyì	7
歌	gē	1
歌剧	gējù	7
歌咏	gēyǒng	7
歌唱	gēchàng	6
歌声	gē shēng	3
歌手	gē shǒu	3
歌星	gēxīng	6
歌曲	gē qǔ	5
歌舞	gēwǔ	7
歌词	gēcí	6
歌迷	gē mí	3
歌颂	gēsòng	7
止	zhǐ	6
止咳	zhǐké	7
止步	zhǐbù	7
止血	zhǐxuè	7
正	zhèng	1
正义	zhèngyì	5
正在	zhèngzài	1
正好	zhènghǎo	2
正如	zhèng rú	5
正宗	zhèngzōng	7
正常	zhèngcháng	2
正式	zhèngshì	3
正当	zhèngdāng	6
正是	zhèng shì	2
正版	zhèng bǎn	5
正直	zhèngzhí	7
正确	zhèngquè	2
正能量	zhèngnéngliàng	7
正规	zhèngguī	5
正视	zhèngshì	7
正面	zhèngmiàn	7
此	cǐ	4
此事	cǐshì	6
此刻	cǐ kè	5
此前	cǐqián	6
此后	cǐ hòu	5
此处	cǐchù	6
此外	cǐwài	4
此时	cǐ shí	5
此次	cǐcì	6
此致	cǐzhì	6
此起彼伏	cǐqǐbǐfú	7
步	bù	3
步伐	bùfá	7
步入	bùrù	7
步行	bù xíng	4
步骤	bùzhòu	7
武力	wǔlì	7
武器	wǔqì	3
武术	wǔshù	3
武装	wǔzhuāng	7
歧视	qíshì	7
歪	wāi	7
歪曲	wāiqū	7
歹徒	dǎitú	7
死	sǐ	3
死亡	sǐwáng	6
死心	sǐxīn	7
死心塌地	sǐxīntādì	7
歼灭	jiānmiè	7
残	cán	7
残忍	cánrěn	7
残留	cánliú	7
残疾	cánjí	6
残疾人	cánjírén	6
残缺	cánquē	7
残酷	cánkù	6
殴打	ōudǎ	7
段	duàn	2
段落	duànluò	7
殷勤	yīnqín	7
殿堂	diàntáng	7
毁	huǐ	6
毁坏	huǐhuài	7
毁灭	huǐmiè	7
毅力	yìlì	7
毅然	yìrán	7
母	mǔ	6
母亲	mǔqīn	3
母女	mǔnǚ	6
母子	mǔzǐ	6
母鸡	mǔjī	6
每	měi	3
每当	měidāng	7
每逢	měiféng	7
毒	dú	5
毒品	dúpǐn	6
比	bǐ	1
比不上	bǐbushàng	7
比例	bǐlì	3
比分	bǐ fēn	4
比喻	bǐyù	7
比如	bǐrú	2
比如说	bǐ rú shuō	2
比方	bǐfang	5
比比皆是	bǐbǐjiēshì	7
比试	bǐshi	7
比赛	bǐsài	3
比起	bǐqǐ	7
比较	bǐjiào	3
比重	bǐzhòng	5
毕业	bìyè	4
毕业生	bì yè shēng	4
毕竟	bìjìng	5
毛	máo	1
毛巾	máojīn	4
毛病	máobìng	3
毛笔	máo bǐ	5
毛衣	máo yī	4
毫不	háobù	7
毫不犹豫	háobùyóuyù	7
毫升	háo shēng	4
毫无	háowú	7
毫米	háomǐ	4
毯子	tǎnzi	7
民主	mínzhǔ	6
民众	mínzhòng	7
民俗	mínsú	7
民办	mínbàn	7
民工	míngōng	6
民意	mínyì	6
民族	mínzú	3
民歌	míngē	6
民用	mínyòng	7
民警	mínjǐng	6
民间	mínjiān	3
气	qì	2
气体	qì tǐ	5
气候	qìhòu	3
气势	qìshì	7
气味	qìwèi	7
气息	qìxī	7
气愤	qìfèn	7
气氛	qìfēn	6
气泡	qìpào	7
气派	qìpài	7
气温	qì wēn	2
气球	qì qiú	4
气管	qìguǎn	7
气象	qìxiàng	5
气质	qìzhì	7
气馁	qìněi	7
气魄	qìpò	7
氛围	fēnwéi	7
氧	yǎng	7
氧气	yǎngqì	6
水	shuǐ	1
水产品	shuǐ chǎn pǐn	5
水准	shuǐzhǔn	7
水分	shuǐ fèn	5
水利	shuǐlì	7
水域	shuǐyù	7
水壶	shuǐhú	7
水平	shuǐpíng	2
水库	shuǐ kù	5
水手	shuǐshǒu	7
水晶	shuǐjīng	7
水果	shuǐguǒ	1
水槽	shuǐcáo	7
水泥	shuǐní	6
水涨船高	shuǐzhǎngchuángāo	7
水温	shuǐwēn	7
水源	shuǐyuán	7
水灵灵	shuǐlínglíng	7
水灾	shuǐ zāi	5
水稻	shuǐdào	7
水管	shuǐguǎn	7
水落石出	shuǐluòshíchū	7
水货	shuǐhuò	7
水面	shuǐmiàn	7
水龙头	shuǐlóngtóu	7
永不	yǒngbù	7
永久	yǒngjiǔ	7
永恒	yǒnghéng	7
永远	yǒngyuǎn	2
汁	zhī	7
求	qiú	2
求助	qiúzhù	7
求医	qiúyī	7
求婚	qiúhūn	7
求学	qiúxué	7
求救	qiújiù	7
求职	qiúzhí	6
求证	qiúzhèng	7
汇	huì	4
汇合	huìhé	7
汇报	huìbào	4
汇款	huì kuǎn	5
汇率	huìlǜ	4
汇聚	huìjù	7
汇集	huìjí	7
汉字	hàn zì	1
汉语	hànyǔ	1
汗	hàn	5
汗水	hànshuǐ	7
江	jiāng	4
池塘	chítáng	7
池子	chí zi	5
污染	wūrǎn	5
污水	wū shuǐ	5
污秽	wūhuì	7
汤	tāng	3
汤圆	tāngyuán	7
汪洋	wāngyáng	7
汹涌	xiōngyǒng	7
汽水	qì shuǐ	4
汽油	qìyóu	4
汽车	qì chē	1
沉	chén	4
沉思	chénsī	7
沉浸	chénjìn	7
沉淀	chéndiàn	7
沉甸甸	chéndiàndiān	7
沉着	chénzhuó	7
沉稳	chénwěn	7
沉迷	chénmí	7
沉重	chénzhòng	4
沉闷	chénmèn	7
沉默	chénmò	4
沏	qī	7
沐浴露	mùyùlù	7
沙发	shāfā	3
沙子	shā zi	3
沙滩	shātān	7
沙漠	shāmò	5
沙龙	shālóng	7
沟	gōu	5
沟通	gōutōng	5
没	méi	1
没事儿	méi shìr	1
没什么	méi shén me	1
没关系	méiguānxi	1
没准儿	méizhǔnr	7
没劲	méijìn	7
没完没了	méiwánméiliǎo	7
没想到	méi xiǎng dào	4
没意思	méiyìsi	7
没收	mòshōu	6
没有	méi yǒu	1
没法儿	méi fǎr	4
没用	méi yòng	3
没落	mòluò	7
没说的	méishuōde	7
没辙	méizhé	7
没错	méi cuò	4
沧桑	cāngsāng	7
沮丧	jǔsàng	7
河	hé	2
河流	héliú	7
河畔	hépàn	7
沸沸扬扬	fèifèiyángyáng	7
沸腾	fèiténg	7
油	yóu	2
油画	yóuhuà	7
治	zhì	4
治学	zhìxué	7
治安	zhì'ān	5
治愈	zhìyù	7
治理	zhìlǐ	5
治疗	zhìliáo	4
治病	zhìbìng	6
沼泽	zhǎozé	7
沽名钓誉	gūmíngdiàoyù	7
沾	zhān	7
沾光	zhānguāng	7
沿	yán	6
沿岸	yán'àn	7
沿海	yánhǎi	6
沿着	yánzhe	6
沿线	yánxiàn	7
沿途	yántú	7
泄	xiè	7
泄密	xièmì	7
泄气	xièqì	7
泄漏	xièlòu	7
泄露	xièlòu	7
泉	quán	5
法	fǎ	4
法制	fǎ zhì	5
法官	fǎ guān	4
法庭	fǎtíng	6
法律	fǎlǜ	4
法规	fǎ guī	5
法语	fǎyǔ	6
法院	fǎyuàn	4
泛滥	fànlàn	7
泡	pào	6
泡沫	pàomò	7
波动	bōdòng	6
波及	bōjí	7
波折	bōzhé	7
波浪	bōlàng	6
波涛	bōtāo	7
波澜	bōlán	7
泥	ní	6
泥土	nítǔ	7
泥潭	nítán	7
注册	zhùcè	5
注射	zhùshè	5
注意	zhùyì	3
注视	zhùshì	5
注重	zhùzhòng	5
泪	lèi	4
泪水	lèi shuǐ	4
泰斗	tàidǒu	7
泻	xiè	7
泼	pō	5
泼冷水	pōlěngshuǐ	7
洁净	jiéjìng	7
洋	yáng	6
洋溢	yángyì	7
洒	sǎ	5
洗	xǐ	1
洗手间	xǐshǒujiān	1
洗涤剂	xǐdíjì	7
洗澡	xǐzǎo	2
洗礼	xǐlǐ	7
